[2025-11-28 20:34:47] OK | root | help | Help command executed.
[2025-11-28 20:35:56] OK | root | help | Help command executed.
[2025-11-28 20:35:56] OK | root | mkdir home | Mkdir command executed.
[2025-11-28 20:35:56] OK | root | cd home | Cd command executed.
[2025-11-28 20:35:56] OK | root | ls | Ls command executed.
[2025-11-28 20:35:56] OK | root | touch test | Touch command executed.
[2025-11-28 20:35:56] OK | root | echo "this is a test" >> test.txt | Echo command executed.
[2025-11-28 20:35:56] OK | root | echo "this is a test" >> test | Echo command executed.
[2025-11-28 20:35:56] OK | root | echo "test">>test | Echo command executed.
[2025-11-28 20:40:33] OK | root | touch test | Touch command executed.
[2025-11-28 20:40:33] OK | root | echo "work please" >> test.txt | Echo command executed.
[2025-11-28 20:42:29] OK | root | ls | Ls command executed.
[2025-11-28 21:03:06] OK | root | ls | Ls command executed.
[2025-11-28 21:12:19] OK | root | ls | Ls command executed.
[2025-11-28 21:14:20] OK | root | ls | Ls command executed.
[2025-11-28 21:14:20] OK | root | mkdir documents | Mkdir command executed.
[2025-11-28 21:14:20] OK | root | ls | Ls command executed.
[2025-11-28 21:15:13] OK | root | ls | Ls command executed.
[2025-11-28 21:15:13] OK | root | mkdir test | Mkdir command executed.
[2025-11-28 21:19:01] OK | root | mkdir testmakedir | Mkdir command executed.
[2025-11-28 21:19:23] OK | root | ls | Ls command executed.
[2025-11-28 21:47:39] OK | root | ls | Ls command executed.
[2025-11-28 21:47:39] OK | root | cd test.txt | Cd command executed.
[2025-11-28 21:47:39] OK | root | cat test.txt | Cat command executed.
[2025-11-28 21:47:39] OK | root | echo "this is a test of the cat command" >> test.txt | Echo command executed.
[2025-11-28 21:47:39] OK | root | cat test.txt | Cat command executed.
[2025-11-28 22:08:48] OK | root | ls | Ls command executed.
[2025-11-28 22:08:48] OK | root | help | Help command executed.
[2025-11-28 22:13:10] OK | root | rm test | Rm executed.
[2025-11-28 22:13:10] OK | root | ls | Ls executed.
[2025-11-28 23:21:18] OK | root | ls | Ls executed.
[2025-11-28 23:21:18] OK | root | chmod +w test.txt | Chmod executed.
[2025-11-28 23:21:18] OK | root | chmod +r test.txt | Chmod executed.
